Artist	Music	Lyrics	Compilation	Title	Type	State	File	Comments	Archive	Original	Genre	Misc. info	Misc. 2	Language	Category	Artist 2	Length	Song start	Song end	Intro	Voice out	Loop start	Loop end	Refrain start	Refrain end	Fade in	Fade out	Hot start	Mix in	Flags	Vote	Volume	Period	Media	Attribute	Tempo	Mood	Energy	Bitrate	File format	BPM	Last date played	Last time played	Last type modification	Folder	CRC	CRCTime
ONE REPUBLIC				LOVE RUNS OUT	RECURENT 08-14		30002790.MPG								RECURENT 08-14		3:39.432	0:00.000	3:39.432	0:15.063										0				A						WAVE-44S				20/11/2014	-31568	896598413	1416472278
ONE REPUBLIC				COUNTING STARS	RECURENT 08-14		30002801.MPG								RECURENT 08-14		4:13.910	0:00.000	4:13.747	0:00.052									4:13.149	0				A						WAVE-44S				20/11/2014	-31568	-2044551159	1416475373
2PAC				CHANGES	90		30002518.MPG								90		4:28.883	0:00.275	4:27.944	0:15.865									4:27.063	0				A					192	MPEG L3-44JP				20/11/2014	-31568	209396454	1163796319
2 PAC				CALIFORNIA LOVE	90		30002516.MPG								90		4:47.242	0:00.353	4:40.893	0:00.294									4:39.657	0				A					128	MPEG L3-44J				20/11/2014	-31568	-1120521941	931769596
4NON BLONDES				WHAT'S UP	90		30002605.MPG								90		4:55.006	0:01.802	4:52.636	0:31.644									4:46.903	0				A					192	MPEG L3-44JP				23/11/2014	-31568	1169525451	1163747157
ACAPULCO BAND				KAKO MI JE	RECURENT 08-14		30001709.MPG								RECURENT 08-14		3:28.770	0:00.228	3:26.376	0:19.231									3:19.344	0		62		A					192	MPEG L3-44JP					-31568	1205508017	1193677960
ACAPULCO BAND				LAKO JE	RECURENT 08-14		30001426.MPG								RECURENT 08-14		3:25.743	0:00.000	3:22.963	0:18.081									3:18.305	0		61		A					320	MPEG L3-44JP					-31568	-1673747094	1238178466
ACME				ZASLUZIO SI SVE	90		30001710.MPG								90		3:56.886	0:00.000	3:56.886	0:17.883									3:56.593	0		67		A					128	MPEG L3-44JP					-31568	2014670854	998927816
ADELE				SOMEONE LIKE YOU	RECURENT 08-14		30002796.MPG								RECURENT 08-14		4:39.337	0:00.000	4:38.192	0:13.279									4:36.303	0				A						WAVE-44S				20/11/2014	-31568	-760110820	1416473769
ADELE				ROLLING IN THE DEEP	RECURENT 08-14		30002783.MPG								RECURENT 08-14		3:45.466	0:00.000	3:45.447	0:04.620									3:45.013	0				A						WAVE-44S				19/11/2014	-31568	1792310489	1416470511
ADELE				SET FIRE TO THE RAIN	RECURENT 08-14		30002791.MPG								RECURENT 08-14		3:57.586	0:00.000	3:57.293	0:08.519									3:55.882	0				A						WAVE-44S				20/11/2014	-31568	2112887575	1416472521
ADNAN I KAJA				SRCE PLACE	RECURENT 08-14		30001613.MPG								RECURENT 08-14		3:32.715	0:00.000	3:29.124	0:00.000									3:27.425	0		64		A					320	MPEG L3-44JP					-31568	-698620447	1247216063
ADRIANO CELENTANO				SUSANNA	MILENIUM 00-08		30002728.MPG								MILENIUM 00-08		4:49.018	0:00.000	4:44.288	0:10.777									4:42.570	0				A					128	MPEG L3-44J				20/11/2014	-31568	-1147918934	1227756833
AEROSMITH				I DON'T WANT TO MISS A THING	90		30002541.MPG								90		4:57.174	0:00.000	4:49.505	0:30.442									4:47.374	0				A					192	MPEG L3-44JP				20/11/2014	-31568	2104882804	1163778853
AKI RAHIMOVSKI				ZBOG TEBE CEKAM BUDAN SVITANJA	MILENIUM 00-08		30001711.MPG								MILENIUM 00-08		5:04.201	0:02.804	5:00.964	0:19.819									5:00.497	0		65		A					192	MPEG L3-44SP					-31568	465726132	1251364095
AKI RAHIMOVSKI				KASNO JE ZA SVE	RECURENT 08-14		30002036.MPG								RECURENT 08-14		4:18.638	0:00.031	4:14.134	4:13.816									4:11.379	0		63		A					192	MPEG L3-44JP					-31568	-94361460	1263909539
AKUSTICNA SOBA				U PROLAZU	MILENIUM 00-08		30001377.MPG								MILENIUM 00-08		4:38.047	0:00.000	4:31.702	0:15.835									4:27.145	0		63		A					192	MPEG L3-44JP					-31568	1728565370	1153481790
AKUSTICNA SOBA				SUSRET	MILENIUM 00-08		30000040.MPG								MILENIUM 00-08		3:23.708	0:00.459	3:19.476	0:17.652									3:17.473	0		65		A					192	MPEG L3-44SP					-31568	736098259	1126184709
ALANAH MYLES				BLACK VELVET	90		30002458.MPG								90		4:48.112	0:00.383	4:43.311	0:23.409									4:30.398	0				A					128	MPEG L3-44JP				12/11/2014	-31568	-170535791	1032211482
AL' DINO				KAD ME BEBO NE VOLIS	MILENIUM 00-08		30001713.MPG								MILENIUM 00-08		4:20.911	0:00.000	4:08.563	0:25.016									4:06.746	0		66		A					160	MPEG L3-44JP					-31568	-515001840	1131554804
AL' DINO				KAD DODJE SUDNJI DAN	MILENIUM 00-08		30001714.MPG								MILENIUM 00-08		4:38.521	0:00.000	4:38.122	0:26.619									4:36.753	0		64		A					256	MPEG L3-44SP					-31568	1890925540	1414335082
ALEGRO BEND				OPROSTAJ	MILENIUM 00-08		30000456.MPG								MILENIUM 00-08		3:15.369	0:00.000	3:12.867	0:24.797									3:10.418	0		67		A					128	MPEG L3-44JP					-31568	-949337270	1089561381
ALEKSA JELIC				MILA	RECURENT 08-14		30001719.MPG								RECURENT 08-14		3:39.637	0:00.000	3:36.608	0:18.753									3:33.167	0		63		A					320	MPEG L3-44JP					-31568	-1414184487	1197884995
ALEKSA JELIC				JOS JEDNOM	RECURENT 08-14		30001718.MPG								RECURENT 08-14	TIJANA BOGICEVIC	4:01.554	0:00.435	4:00.744	0:21.954									3:57.811	0		62		A					192	MPEG L3-44JP					-31568	1999876613	1394432363
ALEKSA JELIC				BELI JABLAN	RECURENT 08-14		30001717.MPG								RECURENT 08-14		3:01.289	0:00.000	3:00.526	0:16.476									2:58.964	0		64		A					192	MPEG L3-44SP					-31568	2068222383	1223224025
ALEKSA JELIC				FLOJD [PROMO]	RECURENT 08-14		30001716.MPG								RECURENT 08-14		3:42.596	0:00.312	3:39.157	0:30.678									3:35.686	0		66		A					128	MPEG L3-44SP					-31568	-1946256130	1276684062
ALEKSA JELIC				SAMO RECI	RECURENT 08-14		30001715.MPG								RECURENT 08-14		3:49.276	0:00.000	3:47.607	0:32.784									3:42.756	0		63		A					192	MPEG L3-44JP					-31568	1514345311	1211100140
ALEKSANDAR KAPRIS				PRE I POSLE NJE	MILENIUM 00-08		30001720.MPG								MILENIUM 00-08		4:19.813	0:00.000	4:16.910	0:22.902									4:14.468	0		64		A					128	MPEG L3-44JP					-31568	-1813631035	1152873428
ALEKSANDRA				OD ZLATA JABUKA	MILENIUM 00-08		30001721.MPG								MILENIUM 00-08		4:04.696	0:00.479	3:57.734	0:23.006									3:52.672	0		72		A					128	MPEG L3-44SP					-31568	1374089427	1140770330
ALEKSANDRA KOVAC				TVOJE RECI VREDE VISE	MILENIUM 00-08		30001735.MPG								MILENIUM 00-08		3:28.513	0:00.085	3:24.536	0:15.193									3:15.354	0		63		A					256	MPEG L3-44SP					-31568	-1102022187	1413807658
ALEKSANDRA KOVAC				DA TE VOLIM	MILENIUM 00-08		30001571.MPG								MILENIUM 00-08		3:21.691	0:00.790	3:17.530	0:19.911									3:13.137	0		64		A					160	MPEG L3-44S					-31568	1136123397	1144780264
ALEKSANDRA KOVAC				U JEDNOJ SEKUNDI	RECURENT 08-14		30001722.MPG								RECURENT 08-14		3:06.958	0:00.219	3:05.001	0:13.402									3:04.122	0		61		A					320	MPEG L3-44SP					-31568	336129141	1276062856
ALEKSANDRA KOVAC				LUTRIJA	MILENIUM 00-08		30001497.MPG								MILENIUM 00-08		3:22.422	0:00.248	3:17.476	0:18.412									3:17.144	0		63		A					160	MPEG L3-44S					-31568	-891074362	1144780200
ALEKSANDRA PILEVA				SONCE I MESECINA	MILENIUM 00-08		30000035.MPG								MILENIUM 00-08		3:03.071	0:00.000	3:00.144	0:14.772									2:58.394	0		62		A					192	MPEG L3-44SP					-31568	-1069106352	1126184613
ALEKSANDRA RADOVIC				DALEKO OD OCIJU	RECURENT 08-14		30001427.MPG								RECURENT 08-14		2:57.092	0:00.277	2:52.868	0:11.515									2:45.585	0		63		A					128	MPEG L3-44JP					-31568	-227918826	1245495470
ALEKSANDRA RADOVIC				JOS DANAS	MILENIUM 00-08		30001495.MPG								MILENIUM 00-08		3:54.475	0:00.000	3:51.063	0:16.530									3:48.859	0		65		A					192	MPEG L3-44JP					-31568	-584979599	1153481878
ALEKSANDRA RADOVIC				BROD BUDALA	RECURENT 08-14		30001381.MPG								RECURENT 08-14		3:29.274	0:00.000	3:24.459	0:05.082									3:21.179	0		64		A					128	MPEG L3-44JP					-31568	-1891949788	1245495424
ALEKSANDRA RADOVIC				OTPISI SVE BIVSE	RECURENT 08-14		30001466.MPG								RECURENT 08-14		3:52.576	0:00.000	3:49.235	0:34.257									3:48.141	0		64		A					128	MPEG L3-44JP					-31568	-226535671	1245495510
ALEKSANDRA RADOVIC				MIRNO MORE	RECURENT 08-14		30001504.MPG								RECURENT 08-14		4:29.670	0:00.000	4:29.670	0:20.241									4:15.389	0		62		A					128	MPEG L3-44JP					-31568	-6164640	1245495570
